Last AUC	Last AP	Last Pr	Last Re	Best Epoch	Best AUC	Best AP	Best Pr	Best Re
quantile: 1.000000
gen_latent: 32.000000
0.577278	0.111853	0.000000	0.000000	1-5	0.929686	0.608078	0.740000	0.651982
0.617040	0.125707	0.000000	0.000000	3-0	0.765900	0.273112	0.015000	0.013216
0.780569	0.209270	0.020000	0.017621	4-4	0.764366	0.215574	0.020000	0.017621
0.801684	0.289134	0.015000	0.013216	2-3	0.921435	0.549556	0.635000	0.559471
0.645694	0.138905	0.005000	0.004405	4-1	0.796602	0.313402	0.160000	0.140969
quantile: 1.000000
gen_latent: 16.000000
0.860016	0.344021	0.165000	0.145374	4-4	0.861466	0.348234	0.165000	0.145374
0.609706	0.137787	0.025000	0.022026	1-5	0.676286	0.162302	0.015000	0.013216
0.661013	0.143110	0.005000	0.004405	2-5	0.879355	0.471534	0.540000	0.475771
0.846554	0.332641	0.165000	0.145374	0-0	0.891409	0.447342	0.515000	0.453744
0.908428	0.585378	0.735000	0.647577	4-4	0.919444	0.604210	0.755000	0.665198
quantile: 1.000000
gen_latent: 8.000000
0.641103	0.135947	0.015000	0.013216	4-2	0.781194	0.337410	0.320000	0.281938
0.518082	0.104884	0.000000	0.000000	1-4	0.862469	0.441622	0.495000	0.436123
0.765628	0.223262	0.010000	0.008811	1-5	0.912611	0.614892	0.785000	0.691630
0.850344	0.389318	0.315000	0.277533	4-4	0.895446	0.548057	0.695000	0.612335
0.590210	0.116936	0.005000	0.004405	0-3	0.710900	0.180786	0.010000	0.008811
quantile: 1.000000
gen_latent: 4.000000
0.647808	0.135244	0.005000	0.004405	4-0	0.836637	0.333397	0.080000	0.070485
0.738138	0.200615	0.015000	0.013216	0-0	0.789648	0.437152	0.470000	0.414097
0.586017	0.115792	0.005000	0.004405	0-1	0.934263	0.619325	0.775000	0.682819







quantile: 0.900000
gen_latent: 32.000000
0.805401	0.291697	0.015000	0.013216	4-3	0.870573	0.366562	0.165000	0.145374
0.810197	0.308127	0.015000	0.013216	3-3	0.833437	0.400533	0.480000	0.422907

Last AUC	Last AP	Last Pr	Last Re	Best Epoch	Best AUC	Best AP	Best Pr	Best Re
boosted: 0.000000								
disc_hidden: 8.000000								
0.952037	0.71244	0.8	0.704846	4-4	0.960242	0.735376	0.805	0.709251
0.59106	0.11436	0.005	0.004405	4-0	0.737676	0.201308	0.015	0.013216
0.900765	0.460277	0.395	0.348018	4-4	0.926605	0.543918	0.59	0.519824
0.867565	0.519016	0.655	0.577093	3-5	0.920765	0.544978	0.63	0.555066
0.931321	0.644344	0.785	0.69163	4-5	0.931321	0.644344	0.785	0.69163
boosted: 0.000000								
disc_hidden: 16.000000								
0.89366	0.467033	0.49	0.431718	4-5	0.89366	0.467033	0.49	0.431718
0.909938	0.50574	0.56	0.493392	1-5	0.903383	0.547396	0.705	0.621145
0.937257	0.590455	0.715	0.629956	4-5	0.937257	0.590455	0.715	0.629956
0.913145	0.455122	0.265	0.23348	3-3	0.923254	0.503015	0.435	0.38326
0.906457	0.452108	0.295	0.259912	0-0	0.928246	0.586679	0.665	0.585903
boosted: 0.000000								
disc_hidden: 32.000000								
0.661357	0.146774	0.005	0.004405	2-2	0.913015	0.640289	0.775	0.682819
0.89553	0.442367	0.31	0.273128	2-4	0.95255	0.697257	0.69	0.60793
0.617998	0.129044	0.005	0.004405	0-3	0.839097	0.44761	0.535	0.471366
0.627495	0.130844	0.005	0.004405	2-4	0.890067	0.512202	0.615	0.54185
0.927163	0.47541	0.345	0.303965	1-2	0.941806	0.645947	0.78	0.687225
boosted: 0.000000								
disc_hidden: 64.000000								
0.922885	0.540476	0.59	0.519824	1-5	0.931357	0.581974	0.64	0.563877
0.643844	0.136655	0.015	0.013216	3-2	0.933825	0.578536	0.685	0.603524
0.560167	0.107493	0.01	0.008811	1-0	0.942713	0.668377	0.81	0.713656
0.834619	0.347767	0.175	0.154185	2-4	0.928918	0.531989	0.52	0.45815
