Last AUC	Last AP	Last Pr	Last Re	Best Epoch	Best AUC	Best AP	Best Pr	Best Re				
attn.layers: 1.000000												
attn.heads: 1.000000												
0.731367	0.228106	0.015	0.013216	0.731367	0.228106	0.015	0.013216	1-Apr	0.943774	0.675587	0.8	0.704846
0.595472	0.119077	0.005	0.004405	0.595472	0.119077	0.005	0.004405	4-Mar	0.940193	0.689014	0.805	0.709251
0.927226	0.517342	0.505	0.444934	0.927226	0.517342	0.505	0.444934	3-Jun	0.928707	0.524129	0.51	0.449339
0.718388	0.161301	0.01	0.008811	0.718388	0.161301	0.01	0.008811	2-Jul	0.923881	0.632652	0.65	0.572687
0.927563	0.518365	0.495	0.436123	0.927563	0.518365	0.495	0.436123	1-Jun	0.928907	0.533442	0.525	0.462555
attn.layers: 1.000000												
attn.heads: 2.000000												
0.929182	0.527562	0.52	0.45815	0.929182	0.527562	0.52	0.45815	3-Mar	0.916159	0.590864	0.71	0.625551
0.928887	0.528359	0.51	0.449339	0.928887	0.528359	0.51	0.449339	5-Jan	0.942459	0.642444	0.785	0.69163
0.845056	0.335213	0.215	0.189427	0.845056	0.335213	0.215	0.189427	1-Mar	0.948882	0.657689	0.75	0.660793
0.744491	0.233148	0.04	0.035242	0.744491	0.233148	0.04	0.035242	0-0	0.982674	0.777396	0.855	0.753304
0.782374	0.2784	0.27	0.237885	0.782374	0.2784	0.27	0.237885	5-Mar	0.894214	0.563207	0.66	0.581498
attn.layers: 1.000000												
attn.heads: 4.000000												
0.888367	0.508093	0.615	0.54185	0.888367	0.508093	0.615	0.54185	3-Jun	0.921281	0.584159	0.71	0.625551
0.926776	0.513093	0.51	0.449339	0.926776	0.513093	0.51	0.449339	1-Apr	0.930793	0.535188	0.3	0.264317
0.929044	0.523655	0.53	0.46696	0.929044	0.523655	0.53	0.46696	3-Apr	0.952514	0.709256	0.81	0.713656
0.762961	0.263157	0.015	0.013216	0.762961	0.263157	0.015	0.013216	Mar-00	0.904823	0.472041	0.46	0.405286
0.928966	0.552051	0.59	0.519824	0.928966	0.552051	0.59	0.519824	5-Jul	0.950765	0.699208	0.825	0.726872
attn.layers: 1.000000												
attn.heads: 8.000000												
0.930777	0.538266	0.535	0.471366	0.930777	0.538266	0.535	0.471366	Apr-00	0.934863	0.641024	0.795	0.700441
0.80935	0.232073	0.005	0.004405	0.80935	0.232073	0.005	0.004405	3-Jun	0.923527	0.580523	0.715	0.629956
0.926739	0.509335	0.47	0.414097	0.926739	0.509335	0.47	0.414097	Mar-00	0.932199	0.564425	0.63	0.555066
0.707793	0.194097	0.02	0.017621	0.707793	0.194097	0.02	0.017621	3-Jan	0.825284	0.280507	0.005	0.004405
0.92533	0.502302	0.45	0.396476	0.92533	0.502302	0.45	0.396476	5-Jun	0.927873	0.52052	0.5	0.440529
attn.layers: 1.000000												
attn.heads: 16.000000												
0.760622	0.258419	0.235	0.207048	0.760622	0.258419	0.235	0.207048	Feb-00	0.945529	0.710861	0.845	0.744493
0.553095	0.106111	0.005	0.004405	0.553095	0.106111	0.005	0.004405	0-0	0.637703	0.127491	0.005	0.004405
0.943688	0.552171	0.61	0.537445	0.943688	0.552171	0.61	0.537445	3-Mar	0.965815	0.715932	0.81	0.713656
0.946462	0.549682	0.605	0.53304	0.946462	0.549682	0.605	0.53304	Feb-00	0.903754	0.582067	0.775	0.682819
0.651491	0.13965	0.005	0.004405	0.651491	0.13965	0.005	0.004405	1-Mar	0.906123	0.548693	0.705	0.621145
attn.layers: 2.000000												
attn.heads: 1.000000												
0.794685	0.290111	0.295	0.259912	0.794685	0.290111	0.295	0.259912	2-Jan	0.925364	0.662051	0.81	0.713656
0.792326	0.28012	0.275	0.242291	0.792326	0.28012	0.275	0.242291	4-Feb	0.880867	0.682577	0.725	0.638767
0.921366	0.451434	0.485	0.427313	0.921366	0.451434	0.485	0.427313	2-Jan	0.943938	0.655434	0.82	0.722467
0.748698	0.239467	0.055	0.048458	0.748698	0.239467	0.055	0.048458	3-Mar	0.802281	0.448756	0.64	0.563877
0.814388	0.313522	0.315	0.277533	0.814388	0.313522	0.315	0.277533	2-Apr	0.964247	0.688661	0.81	0.713656
attn.layers: 2.000000												
attn.heads: 2.000000												
0.920703	0.476278	0.34	0.299559	0.920703	0.476278	0.34	0.299559	2-Feb	0.941436	0.611721	0.73	0.643172
0.846743	0.36254	0.22	0.193833	0.846743	0.36254	0.22	0.193833	5-Feb	0.819885	0.390676	0.49	0.431718
0.936137	0.456546	0.495	0.436123	0.936137	0.456546	0.495	0.436123	Sep-00	0.938854	0.486522	0.445	0.39207
0.626122	0.127111	0.005	0.004405	0.626122	0.127111	0.005	0.004405	5-Jan	0.96268	0.721362	0.84	0.740088
0.92862	0.522535	0.5	0.440529	0.92862	0.522535	0.5	0.440529	3-Aug	0.956658	0.693626	0.77	0.678414
attn.layers: 2.000000												
attn.heads: 4.000000												
0.927758	0.519318	0.505	0.444934	0.927758	0.519318	0.505	0.444934	2-May	0.931486	0.547902	0.58	0.511013
0.769972	0.326041	0.275	0.242291	0.769972	0.326041	0.275	0.242291	5-Apr	0.933083	0.569394	0.65	0.572687
0.734943	0.228868	0.015	0.013216	0.734943	0.228868	0.015	0.013216	1-Aug	0.891918	0.575965	0.67	0.590308
0.76752	0.269841	0.285	0.251101	0.76752	0.269841	0.285	0.251101	5-Apr	0.940826	0.629806	0.76	0.669604
0.94615	0.680002	0.795	0.700441	0.94615	0.680002	0.795	0.700441	2-Sep	0.958512	0.730402	0.83	0.731278
attn.layers: 2.000000												
attn.heads: 8.000000												
0.872214	0.299843	0.005	0.004405	0.872214	0.299843	0.005	0.004405	5-Aug	0.950096	0.628017	0.7	0.61674
0.835394	0.243919	0.005	0.004405	0.835394	0.243919	0.005	0.004405	3-May	0.889852	0.462291	0.525	0.462555
0.928516	0.523174	0.49	0.431718	0.928516	0.523174	0.49	0.431718	Aug-00	0.929395	0.527557	0.525	0.462555
0.929199	0.527407	0.51	0.449339	0.929199	0.527407	0.51	0.449339	Mar-00	0.935649	0.631245	0.795	0.700441
0.929555	0.529733	0.535	0.471366	0.929555	0.529733	0.535	0.471366	3-Feb	0.957848	0.709141	0.805	0.709251
attn.layers: 2.000000												
attn.heads: 16.000000												
0.931892	0.545266	0.545	0.480176	0.931892	0.545266	0.545	0.480176	4-Jun	0.943629	0.619471	0.725	0.638767
0.856766	0.332013	0.14	0.123348	0.856766	0.332013	0.14	0.123348	2-Feb	0.883965	0.446982	0.465	0.409692
0.915665	0.478798	0.52	0.45815	0.915665	0.478798	0.52	0.45815	5-May	0.956432	0.668541	0.77	0.678414
0.434821	0.080357	0	0	0.434821	0.080357	0	0	4-Feb	0.946706	0.646048	0.715	0.629956
0.6752	0.157966	0.005	0.004405	0.6752	0.157966	0.005	0.004405	2-Feb	0.849275	0.392076	0.345	0.303965
attn.layers: 4.000000												
attn.heads: 16.000000												
0.662536	0.137724	0.005	0.004405	0.662536	0.137724	0.005	0.004405	3-Jun	0.955051	0.686624	0.8	0.704846
0.92821	0.521861	0.53	0.46696	0.92821	0.521861	0.53	0.46696	Mar-00	0.957396	0.702	0.805	0.709251
0.801736	0.302277	0.02	0.017621	0.801736	0.302277	0.02	0.017621	3-Sep	0.832301	0.327453	0.02	0.017621
0.928548	0.556906	0.61	0.537445	0.928548	0.556906	0.61	0.537445	5-Jan	0.929002	0.615534	0.795	0.700441
0.946392	0.591511	0.64	0.563877	0.946392	0.591511	0.64	0.563877	5-Jul	0.94737	0.598921	0.655	0.577093
attn.layers: 4.000000												
attn.heads: 1.000000												
