D-loss	G-loss	AUC	AP
1.495679	0.753403	0.937283	0.029203
1.243359	0.719529	0.935934	0.028026
1.147203	0.720587	0.930347	0.023960
1.190297	0.713965	0.927938	0.020484
1.230816	0.709274	0.923507	0.019886
1.276755	0.706528	0.916667	0.019398
1.275369	0.705004	0.915800	0.018896
1.241278	0.703014	0.915414	0.018600
1.258442	0.702164	0.920713	0.018752
1.268328	0.701091	0.913006	0.017689
1.266344	0.700706	0.909538	0.016846
1.267804	0.699789	0.888825	0.010888
1.293666	0.699466	0.833719	0.007567
1.284391	0.698947	0.787283	0.006049
1.315761	0.698237	0.668401	0.003056
1.325566	0.697620	0.540848	0.001994
1.321571	0.698089	0.402697	0.001530
1.362069	0.697717	0.392100	0.001503
1.392477	0.697343	0.044412	0.000993
1.352736	0.697417	0.033141	0.000986
1.416957	0.696499	0.013487	0.000973
1.393155	0.696307	0.012909	0.000973
1.402392	0.696207	0.012813	0.000973
1.393290	0.696513	0.012428	0.000973
1.424886	0.695945	0.012620	0.000973
1.388317	0.695591	0.012620	0.000973
1.412639	0.695663	0.012524	0.000973
1.396399	0.695620	0.012813	0.000973
1.446534	0.695321	0.012813	0.000973
1.415019	0.695173	0.013198	0.000973
1.417601	0.695138	0.013295	0.000973
1.407907	0.695095	0.013487	0.000973
1.417201	0.695094	0.015318	0.000974
1.430338	0.695112	0.015414	0.000974
1.423635	0.694884	0.013584	0.000973
1.416773	0.694933	0.015607	0.000974
1.407511	0.694697	0.019461	0.000976
1.412185	0.694719	0.028420	0.000980
1.393320	0.694775	0.042486	0.000987
1.380775	0.694609	0.093642	0.001026
1.397631	0.694585	0.095087	0.001027
1.389409	0.694492	0.142678	0.001080
1.376946	0.694461	0.213102	0.001167
1.383654	0.694396	0.112524	0.001043
1.405708	0.694548	0.087572	0.001018
1.380881	0.694371	0.261079	0.001235
1.398258	0.694392	0.406455	0.001557
1.396156	0.694311	0.217919	0.001186
1.380703	0.694263	0.245857	0.001212
1.362504	0.694288	0.059827	0.000999
1.367580	0.694429	0.137572	0.001070
1.370773	0.694241	0.019750	0.000978
1.402983	0.694259	0.018015	0.000977
1.365244	0.694293	0.020809	0.000978
1.370241	0.694332	0.090655	0.001024
1.393475	0.694194	0.110019	0.001049
1.385286	0.694293	0.166089	0.001120
1.368554	0.694070	0.149037	0.001094
1.375697	0.694059	0.270713	0.001263
1.357354	0.694005	0.157129	0.001110
1.333108	0.694036	0.234297	0.001199
1.352004	0.694005	0.336031	0.001385
1.363046	0.694037	0.347688	0.001412
1.358899	0.693946	0.368882	0.001451
1.340646	0.693952	0.367245	0.001446
1.345951	0.693949	0.470906	0.001726
1.332506	0.693931	0.393642	0.001503
1.331123	0.693963	0.589403	0.002260
1.368052	0.693970	0.468786	0.001715
1.353995	0.694024	0.183622	0.001132
1.368235	0.694308	0.337091	0.001385
1.365371	0.694024	0.210116	0.001180
1.364218	0.693985	0.164066	0.001117
1.352231	0.694051	0.052987	0.000994
1.357202	0.694164	0.274663	0.001267
1.381332	0.694915	0.254335	0.001225
1.345498	0.694334	0.129576	0.001065
1.341030	0.694580	0.140462	0.001078
1.375382	0.694070	0.204143	0.001162
1.392326	0.694450	0.322543	0.001352
1.343162	0.694016	0.355299	0.001426
1.330210	0.693977	0.374952	0.001528
1.365361	0.693909	0.249904	0.001223
1.366028	0.693898	0.708767	0.003120
1.368372	0.694543	0.466956	0.001805
1.331139	0.694099	0.584297	0.002307
1.320518	0.694054	0.711175	0.003176
1.344544	0.694188	0.704143	0.003093
1.337899	0.693885	0.459538	0.001763
1.330078	0.694347	0.798459	0.004547
1.351667	0.694161	0.741522	0.003511
1.319535	0.693912	0.336513	0.001422
1.325012	0.694695	0.785934	0.004379
1.373568	0.696527	0.593931	0.002274
1.305534	0.695427	0.875915	0.007300
1.293332	0.694295	0.789788	0.004347
1.283180	0.694697	0.803757	0.004684
1.371177	0.694122	0.365992	0.001507
1.354644	0.694144	0.359827	0.001538
1.408976	0.728716	0.211282	0.025352
1.508016	0.717778	0.213670	0.025403
1.449143	0.712028	0.219072	0.025588
1.412116	0.708074	0.235713	0.026302
1.382171	0.705274	0.270081	0.027830
1.388395	0.703575	0.382246	0.032127
1.376975	0.701682	0.570962	0.057146
1.348851	0.700723	0.645271	0.096485
1.319124	0.700741	0.626345	0.101222
1.340172	0.699337	0.637203	0.106982
1.342292	0.698549	0.642593	0.104155
1.309803	0.697686	0.634537	0.098663
1.311777	0.698038	0.678060	0.160645
1.358512	0.697066	0.680276	0.157205
1.352897	0.696810	0.679451	0.121334
1.359935	0.696588	0.721895	0.139118
1.361058	0.696202	0.713709	0.099060
1.385534	0.696054	0.608618	0.057109
1.370878	0.695769	0.537682	0.047307
1.361518	0.695666	0.586826	0.051750
1.385634	0.695427	0.620702	0.056437
1.389459	0.695348	0.668307	0.066110
1.359766	0.695232	0.803945	0.116757
1.354848	0.695198	0.861313	0.172890
1.372234	0.695110	0.882046	0.198225
1.350193	0.695048	0.863565	0.159389
1.379650	0.694821	0.827365	0.127184
1.375757	0.694660	0.688732	0.073833
1.364399	0.694749	0.663314	0.068624
1.398913	0.694654	0.738157	0.091035
1.390772	0.694595	0.648113	0.067786
1.365990	0.694823	0.773629	0.104824
1.378065	0.694528	0.765205	0.099039
1.380456	0.694509	0.795633	0.120209
1.334771	0.694406	0.796022	0.120274
1.336717	0.694459	0.723181	0.095011
1.353874	0.694451	0.680308	0.080384
1.363952	0.694287	0.703444	0.077600
1.345414	0.694205	0.629240	0.058484
1.359569	0.694357	0.601537	0.050907
1.366586	0.694195	0.530958	0.043240
1.370582	0.694210	0.331254	0.029630
1.347111	0.694348	0.661944	0.058080
1.349968	0.695087	0.496488	0.039025
1.330664	0.695700	0.684652	0.061868
1.358112	0.694287	0.715590	0.069466
1.370960	0.694122	0.769857	0.090073
1.324494	0.694208	0.794139	0.122770
1.336438	0.694201	0.769864	0.094093
1.325879	0.694292	0.713722	0.069011
1.337315	0.694114	0.460707	0.036375
1.355983	0.694047	0.625071	0.053436
1.385278	0.694018	0.491902	0.038520
1.362313	0.694113	0.383313	0.032071
1.366399	0.694319	0.389292	0.032527
1.406885	0.695698	0.240468	0.026327
1.347050	0.696387	0.705406	0.073593
